source,target,target_text,type
1.1,1.2,Constancy of the speed of light,DEPENDS_ON
1.1,2.1,Inertial frames,DEPENDS_ON
1.1,3.1,Lorentz transformations,DEPENDS_ON
1.2,1.1,Principle of relativity,DEPENDS_ON
1.2,2.1,Inertial frames,DEPENDS_ON
1.2,3.1,Lorentz transformations,DEPENDS_ON
1.2,3.2,Spacetime interval,DEPENDS_ON
1.2,3.3,Metric tensor,DEPENDS_ON
2.1,1.1,Principle of relativity,DEPENDS_ON
2.1,2.2,Spacetime event,DEPENDS_ON
2.1,3.1,Lorentz transformations,DEPENDS_ON
2.1,3.2,Spacetime interval,DEPENDS_ON
2.2,2.1,Inertial frame,DEPENDS_ON
2.2,3.1,Lorentz transformations,DEPENDS_ON
2.2,3.2,Spacetime interval,DEPENDS_ON
2.2,4.3,Position four-vector,DEPENDS_ON
2.3,1.2,Constancy of the speed of light,DEPENDS_ON
2.3,2.2,Spacetime event,DEPENDS_ON
2.3,3.4,Light cone,DEPENDS_ON
3.1,1.1,Principle of relativity,DEPENDS_ON
3.1,1.2,Constancy of the speed of light,DEPENDS_ON
3.1,2.1,Inertial frames,DEPENDS_ON
3.1,2.2,Spacetime event,DEPENDS_ON
3.1,3.2,Spacetime interval,DEPENDS_ON
3.1,3.3,Metric tensor,DEPENDS_ON
3.1,4.2,Four-vector,DEPENDS_ON
3.2,2.1,Inertial frame,DEPENDS_ON
3.2,2.2,Spacetime events,DEPENDS_ON
3.2,3.1,Lorentz transformations,DEPENDS_ON
3.2,3.3,Metric tensor,DEPENDS_ON
3.3,3.1,Lorentz transformations,DEPENDS_ON
3.3,3.2,Spacetime interval,DEPENDS_ON
3.3,4.2,Four-vectors,DEPENDS_ON
3.4,2.3,Principle of locality,DEPENDS_ON
3.4,3.2,Spacetime interval,DEPENDS_ON
3.5,2.2,Spacetime events,DEPENDS_ON
3.5,3.1,Lorentz transformations,DEPENDS_ON
3.5,3.4,Light cone,DEPENDS_ON
4.1,2.1,Inertial frame,DEPENDS_ON
4.1,2.2,Spacetime events,DEPENDS_ON
4.1,3.1,Lorentz transformations,DEPENDS_ON
4.1,3.2,Spacetime interval,DEPENDS_ON
4.2,2.1,Inertial frames,DEPENDS_ON
4.2,3.1,Lorentz transformations,DEPENDS_ON
4.2,3.3,Metric tensor,DEPENDS_ON
4.2,4.3,Position four-vector,DEPENDS_ON
4.2,4.4,Velocity four-vector,DEPENDS_ON
4.2,4.5,Momentum four-vector,DEPENDS_ON
4.3,2.2,Spacetime event,DEPENDS_ON
4.3,3.1,Lorentz transformations,DEPENDS_ON
4.3,3.2,Spacetime interval,DEPENDS_ON
4.3,4.2,Four-vector,DEPENDS_ON
4.4,4.1,Proper time,DEPENDS_ON
4.4,4.2,Four-vector,DEPENDS_ON
4.4,4.3,Position four-vector,DEPENDS_ON
4.4,4.5,Momentum four-vector,DEPENDS_ON
4.5,4.2,Four-vector,DEPENDS_ON
4.5,4.4,Velocity four-vector,DEPENDS_ON
5.1,3.1,Lorentz transformations,DEPENDS_ON
5.1,5.2,Lagrangian,DEPENDS_ON
5.2,3.2,Spacetime interval,DEPENDS_ON
5.2,4.2,Four-vectors,DEPENDS_ON
5.2,5.1,Action principle,DEPENDS_ON
5.2,5.3,Euler–Lagrange equations,DEPENDS_ON
5.3,5.1,Action principle,DEPENDS_ON
5.3,5.2,Lagrangian,DEPENDS_ON
5.4,5.2,Lagrangian,DEPENDS_ON
5.4,5.3,Euler–Lagrange equations,DEPENDS_ON
5.4,5.5,Canonical momentum,DEPENDS_ON
5.5,4.5,Momentum four-vector,DEPENDS_ON
5.5,5.2,Lagrangian,DEPENDS_ON
5.5,5.4,Hamiltonian formalism,DEPENDS_ON
5.6,5.1,Action principle,DEPENDS_ON
5.6,9.4,Energy–momentum tensor,DEPENDS_ON
6.1,2.2,Spacetime event,DEPENDS_ON
6.1,3.1,Lorentz transformations,DEPENDS_ON
6.1,4.2,Four-vector,DEPENDS_ON
6.1,5.3,Euler–Lagrange equations,DEPENDS_ON
6.1,6.3,Field Lagrangian,DEPENDS_ON
6.1,6.4,Field equations,DEPENDS_ON
6.2,2.2,Spacetime event,DEPENDS_ON
6.2,3.1,Lorentz transformations,DEPENDS_ON
6.2,4.2,Four-vector,DEPENDS_ON
6.2,5.2,Lagrangian,DEPENDS_ON
6.2,6.3,Field Lagrangian,DEPENDS_ON
6.3,2.2,Spacetime event,DEPENDS_ON
6.3,2.3,Principle of locality,DEPENDS_ON
6.3,5.1,Action principle,DEPENDS_ON
6.3,5.3,Euler–Lagrange equations,DEPENDS_ON
6.3,6.4,Field equations,DEPENDS_ON
6.4,3.1,Lorentz transformations,DEPENDS_ON
6.4,5.3,Euler–Lagrange equations,DEPENDS_ON
6.4,6.1,Scalar field,DEPENDS_ON
6.4,6.2,Vector field,DEPENDS_ON
6.4,6.3,Field Lagrangian,DEPENDS_ON
7.1,2.2,Spacetime event,DEPENDS_ON
7.1,6.2,Vector field,DEPENDS_ON
7.1,6.3,Field Lagrangian,DEPENDS_ON
7.1,7.2,Field tensor,DEPENDS_ON
7.2,3.1,Lorentz transformations,DEPENDS_ON
7.2,7.1,Vector potential,DEPENDS_ON
7.2,7.3,Electric field,DEPENDS_ON
7.2,7.4,Magnetic field,DEPENDS_ON
7.2,7.5,Electromagnetic field,DEPENDS_ON
7.3,2.1,Inertial frame,DEPENDS_ON
7.3,3.1,Lorentz transformations,DEPENDS_ON
7.3,7.2,Field tensor,DEPENDS_ON
7.3,7.5,Electromagnetic field,DEPENDS_ON
7.4,7.2,Field tensor,DEPENDS_ON
7.4,7.3,Electric field,DEPENDS_ON
7.4,7.5,Electromagnetic field,DEPENDS_ON
7.5,6.3,Field Lagrangian,DEPENDS_ON
7.5,7.2,Field tensor,DEPENDS_ON
7.5,7.3,Electric field,DEPENDS_ON
7.5,7.4,Magnetic field,DEPENDS_ON
7.5,7.6,Maxwell's equations,DEPENDS_ON
7.6,5.3,Euler–Lagrange equations,DEPENDS_ON
7.6,6.3,Field Lagrangian,DEPENDS_ON
7.6,7.5,Electromagnetic field,DEPENDS_ON
7.7,7.1,Vector potential,DEPENDS_ON
7.7,7.5,Electromagnetic field,DEPENDS_ON
7.7,7.6,Maxwell's equations,DEPENDS_ON
8.1,7.1,Vector potential,DEPENDS_ON
8.1,7.2,Field tensor,DEPENDS_ON
8.1,7.5,Electromagnetic field,DEPENDS_ON
8.1,7.7,Lorenz gauge,DEPENDS_ON
8.2,4.2,Four-vector,DEPENDS_ON
8.2,7.6,Maxwell's equations,DEPENDS_ON
8.2,8.5,Charge conservation,DEPENDS_ON
8.3,5.2,Lagrangian,DEPENDS_ON
8.3,7.1,Vector potential,DEPENDS_ON
8.3,8.1,Gauge invariance,DEPENDS_ON
8.4,4.4,Velocity four-vector,DEPENDS_ON
8.4,4.5,Momentum four-vector,DEPENDS_ON
8.4,5.1,Action principle,DEPENDS_ON
8.4,7.2,Field tensor,DEPENDS_ON
8.4,7.5,Electromagnetic field,DEPENDS_ON
8.4,8.3,Minimal coupling,DEPENDS_ON
8.5,7.6,Maxwell's equations,DEPENDS_ON
8.5,8.2,Four-current,DEPENDS_ON
9.1,7.3,Electric field,DEPENDS_ON
9.1,7.4,Magnetic field,DEPENDS_ON
9.1,7.5,Electromagnetic field,DEPENDS_ON
